map,wait_time_s,ping,kills,assists,deaths,mvps,hs_percent,points,result
Dust II,322.0,85.0,18.0,3.0,12.0,4.0,22.0,45.0,Win
Dust II,312.0,88.0,13.0,1.0,15.0,3.0,23.0,31.0,Lost
Mirage,79.0,91.0,18.0,0.0,8.0,2.0,47.0,36.0,Win
Dust II,297.0,84.0,15.0,3.0,21.0,3.0,40.0,39.0,Lost
Dust II,494.0,130.0,4.0,2.0,22.0,2.0,25.0,17.0,Tie
Dust II,282.0,111.0,23.0,7.0,21.0,5.0,41.0,67.0,Lost
Dust II,207.0,78.0,9.0,1.0,23.0,0.0,33.0,23.0,Lost
Dust II,42.0,0.0,17.0,1.0,15.0,0.0,17.0,37.0,Lost
Dust II,10.0,81.0,11.0,6.0,22.0,1.0,50.0,35.0,Lost
Dust II,22.0,79.0,7.0,3.0,17.0,0.0,14.0,22.0,Lost
Mirage,70.0,92.0,18.0,5.0,12.0,3.0,33.0,58.0,Win
Dust II,236.0,77.0,12.0,5.0,21.0,0.0,30.0,36.0,Lost
Dust II,153.0,120.0,12.0,7.0,13.0,2.0,16.0,33.0,Win
Dust II,329.0,80.0,18.0,2.0,20.0,2.0,27.0,42.0,Lost
Dust II,165.0,84.0,20.0,5.0,22.0,3.0,35.0,55.0,Lost
Dust II,90.0,84.0,21.0,3.0,21.0,2.0,18.0,51.0,Lost
Dust II,179.0,166.0,7.0,1.0,13.0,1.0,42.0,19.0,Win
Dust II,98.0,87.0,19.0,4.0,15.0,1.0,21.0,48.0,Win
Dust II,29.0,82.0,19.0,4.0,21.0,3.0,10.0,49.0,Lost
Dust II,291.0,83.0,19.0,6.0,14.0,4.0,15.0,55.0,Win
Dust II,115.0,100.0,15.0,9.0,21.0,1.0,13.0,44.0,Lost
Dust II,229.0,84.0,19.0,2.0,17.0,4.0,15.0,45.0,Win
Dust II,307.0,141.0,18.0,8.0,20.0,4.0,22.0,51.0,Win
Mirage,11.0,422.0,14.0,1.0,19.0,2.0,13.0,35.0,Lost
Mirage,76.0,81.0,12.0,6.0,21.0,2.0,16.0,38.0,Lost
Mirage,89.0,0.0,6.0,2.0,14.0,1.0,33.0,14.0,Lost
Dust II,250.0,130.0,12.0,3.0,14.0,3.0,16.0,34.0,Win
Dust II,258.0,160.0,20.0,4.0,22.0,2.0,30.0,48.0,Tie
Dust II,180.0,384.0,15.0,7.0,22.0,1.0,40.0,37.0,Lost
Dust II,302.0,85.0,21.0,3.0,11.0,7.0,19.0,58.0,Win
Dust II,459.0,0.0,5.0,2.0,10.0,0.0,40.0,13.0,Tie
Dust II,293.0,0.0,18.0,5.0,20.0,4.0,27.0,54.0,Tie
Dust II,262.0,92.0,22.0,4.0,20.0,3.0,36.0,51.0,Lost
Dust II,39.0,88.0,11.0,10.0,11.0,0.0,54.0,36.0,Win
Mirage,354.0,89.0,15.0,5.0,22.0,1.0,33.0,46.0,Lost
Mirage,298.0,96.0,18.0,4.0,19.0,4.0,11.0,51.0,Lost
Dust II,382.0,103.0,18.0,6.0,17.0,1.0,27.0,48.0,Lost
Dust II,541.0,125.0,21.0,10.0,20.0,3.0,19.0,58.0,Win
Dust II,166.0,96.0,18.0,2.0,21.0,2.0,33.0,44.0,Lost
Dust II,223.0,99.0,14.0,6.0,21.0,2.0,50.0,37.0,Lost
Mirage,70.0,90.0,13.0,4.0,17.0,1.0,15.0,36.0,Win
Dust II,184.0,92.0,17.0,5.0,18.0,4.0,41.0,43.0,Win
Dust II,305.0,267.0,22.0,4.0,11.0,4.0,31.0,61.0,Win
Dust II,372.0,87.0,5.0,2.0,17.0,0.0,20.0,16.0,Lost
Dust II,284.0,93.0,17.0,4.0,21.0,1.0,38.0,41.0,Lost
Dust II,59.0,89.0,6.0,4.0,19.0,1.0,42.0,19.0,Lost
Dust II,134.0,91.0,12.0,6.0,15.0,0.0,16.0,31.0,Win
Dust II,292.0,89.0,7.0,0.0,14.0,0.0,14.0,14.0,Lost
Dust II,323.0,90.0,12.0,7.0,18.0,0.0,41.0,37.0,Win
Inferno,405.0,134.0,7.0,6.0,9.0,2.0,14.0,27.0,Win
Dust II,245.0,100.0,14.0,3.0,6.0,2.0,14.0,38.0,Win
Dust II,36.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,Lost
Dust II,305.0,81.0,26.0,7.0,19.0,5.0,23.0,67.0,Win
Dust II,118.0,94.0,18.0,1.0,18.0,1.0,16.0,37.0,Lost
Dust II,208.0,98.0,17.0,2.0,20.0,1.0,17.0,39.0,Tie
Dust II,38.0,0.0,6.0,3.0,9.0,1.0,50.0,16.0,Lost
Dust II,375.0,113.0,13.0,0.0,15.0,1.0,42.0,26.0,Lost
Dust II,253.0,97.0,13.0,3.0,12.0,3.0,15.0,32.0,Win
Mirage,45.0,0.0,4.0,1.0,9.0,1.0,50.0,9.0,Lost
Dust II,43.0,102.0,15.0,3.0,12.0,1.0,26.0,35.0,Win
Dust II,93.0,0.0,15.0,2.0,17.0,1.0,40.0,32.0,Lost
Dust II,471.0,87.0,13.0,8.0,19.0,0.0,23.0,42.0,Win
Dust II,325.0,269.0,7.0,3.0,12.0,0.0,42.0,20.0,Lost
Dust II,121.0,0.0,1.0,0.0,7.0,0.0,0.0,2.0,Lost
Dust II,204.0,113.0,14.0,7.0,17.0,1.0,28.0,42.0,Win
Dust II,290.0,87.0,16.0,1.0,17.0,0.0,25.0,37.0,Lost
Dust II,375.0,88.0,14.0,2.0,17.0,1.0,21.0,38.0,Lost
Dust II,10.0,95.0,13.0,5.0,22.0,0.0,7.0,37.0,Lost
